0;0;1
1;1;2
2;2;3
3;5;4
4;6;5
5;6;7
6;8;9
7;9;10
8;10;11
9;12;13
10;13;14
11;14;15
12;4;0
13;1;5
14;2;6
15;3;7
16;4;8
17;9;5
18;10;6
19;7;11
20;8;12
21;9;13
22;10;14
23;11;15
24;7;26
25;3;26
26;26;27
27;27;25
28;25;24
29;11;25
30;14;16
31;15;16
32;14;24
33;12;20
34;20;22
35;3;14
36;17;21
37;12;21
38;21;24
39;22;23
40;23;25
41;21;22
42;23;16
43;18;0
44;18;19
45;19;4
46;19;12
47;19;8
48;17;10
49;28;29
50;29;30
51;30;31
52;32;33
53;33;34
54;34;35
55;36;37
56;37;38
57;38;39
58;40;41
59;41;42
60;42;43
61;28;32
62;32;36
63;36;40
64;29;33
65;33;37
66;37;41
67;30;34
68;34;38
69;38;42
70;31;35
71;35;39
72;39;43
73;28;33
74;33;38
75;38;43
76;25;28
77;44;32
78;44;40
79;45;29
80;45;31
81;46;26
82;46;27
83;46;44
84;47;22
85;47;23
86;47;45
